OrderID;SupplierID;PartNumber;OrderDate;DeliveryDate;OnTimeDelivery;LeadTime;QualityScore;Cost
111;S4;P918;2023-11-02;2023-11-07;Sí;5;4,98;5964,38
112;S8;P724;2023-05-21;2023-05-28;Sí;7;4,20;7615,45
113;S5;P176;2023-06-18;2023-06-25;Sí;7;3,34;12656,59
114;S4;P933;2023-03-06;2023-03-16;No;10;4,48;3966,87
115;S1;P507;2023-08-16;2023-08-19;Sí;3;1,89;17218,50
116;S4;P238;2023-01-28;2023-02-05;Sí;8;2,05;500,00
117;S2;P715;2023-06-08;2023-06-21;No;13;2,62;4043,12
118;S6;P240;2023-01-19;2023-02-02;Sí;14;3,17;12999,39
119;S5;P275;2023-01-01;2023-01-04;No;3;5,00;10299,09
120;S7;P350;2023-03-21;2023-03-30;Sí;9;3,45;9637,86
121;S1;P416;2023-10-23;2023-10-26;Sí;3;1,00;2366,60
122;S6;P348;2023-02-21;2023-02-24;Sí;3;3,55;11653,95
123;S2;P338;2023-05-12;2023-05-21;Sí;9;3,35;14002,16
124;S9;P525;2023-05-27;2023-05-30;No;3;5,00;7109,30
125;S6;P158;2023-03-27;2023-04-15;Sí;19;4,33;17528,90
126;S2;P829;2023-06-15;2023-06-29;Sí;14;5,00;500,00
127;S8;P211;2023-06-19;2023-07-04;No;15;3,95;13060,40
128;S3;P817;2023-07-25;2023-08-04;Sí;10;4,45;2634,53
129;S4;P271;2023-02-04;2023-02-08;No;4;1,29;10148,93
130;S4;P331;2023-09-29;2023-10-13;Sí;14;2,92;7519,44
131;S7;P203;2023-05-25;2023-06-02;No;8;5,00;7272,64
132;S10;P980;2023-05-23;2023-05-29;Sí;6;2,16;9397,52
133;S9;P449;2023-07-06;2023-07-09;Sí;3;3,82;6666,18
134;S4;P935;2023-07-11;2023-07-31;Sí;20;5,00;3332,22
135;S5;P904;2023-04-23;2023-04-26;No;3;2,56;20000,00
136;S5;P835;2023-09-30;2023-10-08;Sí;8;4,38;4434,49
137;S3;P390;2023-01-16;2023-01-26;No;10;5,00;12419,18
138;S1;P336;2023-04-08;2023-04-19;Sí;11;1,91;17721,26
139;S5;P955;2023-10-17;2023-10-26;Sí;9;3,01;1646,34
140;S3;P171;2023-09-27;2023-10-01;Sí;4;2,44;7595,44
141;S2;P700;2023-03-15;2023-03-20;Sí;5;5,00;10433,99
142;S1;P658;2023-09-27;2023-10-16;Sí;19;3,59;10790,76
143;S5;P968;2023-05-17;2023-06-01;Sí;15;2,15;5004,74
144;S2;P807;2023-10-01;2023-10-13;No;12;4,70;2356,47
145;S10;P475;2023-07-17;2023-07-26;No;9;3,76;775,14
146;S7;P493;2023-04-26;2023-04-29;No;3;4,23;19653,96
147;S7;P405;2023-07-14;2023-07-26;Sí;12;3,68;5873,65
148;S4;P440;2023-03-09;2023-03-18;Sí;9;4,85;11695,04
149;S4;P673;2023-02-21;2023-02-25;Sí;4;5,00;1767,64
150;S6;P161;2023-04-10;2023-04-23;Sí;13;5,00;6347,10
151;S1;P141;2023-06-03;2023-06-19;Sí;16;5,00;1128,48
152;S6;P558;2023-12-06;2023-12-31;Sí;25;1,55;8593,99
153;S7;P740;2023-03-14;2023-03-30;Sí;16;4,26;5667,91
154;S9;P231;2023-08-26;2023-09-07;Sí;12;5,00;9585,17
155;S2;P163;2023-12-07;2023-12-10;Sí;3;1,01;2773,37
156;S5;P725;2023-09-21;2023-10-08;Sí;17;5,00;7571,16
157;S8;P280;2023-03-18;2023-03-21;Sí;3;5,00;1053,00
158;S6;P137;2023-12-27;2023-12-30;Sí;3;5,00;16946,56
159;S10;P612;2023-10-26;2023-11-12;No;17;1,00;3320,23
160;S1;P897;2023-04-27;2023-05-06;Sí;9;4,96;12460,80
161;S10;P535;2023-02-03;2023-02-06;Sí;3;3,08;18805,12
162;S6;P422;2023-08-11;2023-08-19;Sí;8;4,57;6790,31
163;S1;P896;2023-11-19;2023-12-05;Sí;16;5,00;5749,27
164;S5;P376;2023-05-15;2023-05-23;Sí;8;3,48;11087,61
165;S7;P984;2023-05-03;2023-05-09;Sí;6;4,38;13363,74
166;S8;P846;2023-03-15;2023-03-20;No;5;5,00;3275,25
167;S5;P933;2023-05-13;2023-05-16;Sí;3;5,00;15545,11
168;S8;P661;2023-05-08;2023-05-12;No;4;5,00;12782,38
169;S4;P799;2023-10-21;2023-10-31;Sí;10;3,19;12598,48
170;S2;P687;2023-11-06;2023-11-09;Sí;3;3,73;8021,45
171;S6;P282;2023-09-23;2023-10-13;Sí;20;3,08;7622,63
172;S7;P998;2023-03-25;2023-04-05;Sí;11;3,69;10991,64
173;S3;P592;2023-11-20;2023-11-29;Sí;9;1,15;11352,28
174;S2;P829;2023-10-01;2023-10-04;No;3;2,55;5877,80
175;S2;P842;2023-06-15;2023-07-01;Sí;16;3,80;6459,04
176;S2;P944;2023-04-14;2023-04-27;Sí;13;2,19;8916,23
177;S8;P526;2023-11-03;2023-11-08;No;5;2,66;9111,59
178;S7;P145;2023-05-17;2023-05-23;Sí;6;5,00;4667,31
179;S6;P817;2023-01-07;2023-01-26;No;19;5,00;4723,63
180;S1;P471;2023-02-26;2023-03-01;No;3;5,00;1460,61
181;S6;P562;2023-11-11;2023-11-29;Sí;18;2,67;6341,04
182;S5;P653;2023-08-03;2023-08-06;Sí;3;5,00;7226,29
183;S8;P810;2023-01-13;2023-01-16;Sí;3;4,60;12630,74
184;S10;P181;2023-03-02;2023-03-05;No;3;5,00;500,00
185;S2;P439;2023-04-30;2023-05-11;Sí;11;5,00;2517,70
186;S4;P414;2023-05-16;2023-06-02;No;17;3,23;729,76
187;S7;P753;2023-05-06;2023-05-20;Sí;14;3,02;13622,94
188;S8;P683;2023-12-10;2023-12-18;Sí;8;1,00;10094,11
189;S4;P851;2023-05-12;2023-05-15;Sí;3;3,47;8919,17
190;S8;P896;2023-05-04;2023-05-07;Sí;3;1,10;4538,02
191;S1;P846;2023-12-17;2023-12-20;Sí;3;5,00;8561,05
192;S5;P885;2023-11-01;2023-11-21;No;20;3,51;7654,75
193;S10;P977;2023-08-20;2023-08-31;Sí;11;2,94;500,00
194;S10;P715;2023-01-08;2023-02-02;Sí;25;1,00;2202,58
195;S3;P809;2023-02-22;2023-03-02;Sí;8;5,00;14816,92
196;S7;P888;2023-10-16;2023-10-28;Sí;12;5,00;6329,91
197;S4;P743;2023-10-12;2023-10-15;Sí;3;5,00;8753,08
198;S2;P923;2023-04-02;2023-04-28;Sí;26;1,00;8303,68
199;S2;P164;2023-03-06;2023-03-10;Sí;4;1,00;13798,67
200;S7;P232;2023-02-14;2023-02-25;Sí;11;5,00;500,00
201;S9;P738;2023-09-14;2023-09-23;Sí;9;3,48;4535,28
202;S9;P641;2023-02-22;2023-02-25;Sí;3;5,00;18045,66
203;S9;P462;2023-06-23;2023-06-26;Sí;3;1,00;15828,30
204;S3;P962;2023-11-25;2023-11-28;Sí;3;5,00;13421,34
205;S7;P282;2023-10-31;2023-11-18;Sí;18;2,54;2094,58
206;S4;P959;2023-07-17;2023-08-13;Sí;27;2,13;500,00
207;S10;P893;2023-03-24;2023-04-14;Sí;21;5,00;6250,64
208;S8;P281;2023-12-26;2024-01-05;Sí;10;5,00;574,96
209;S3;P647;2023-06-18;2023-06-27;Sí;9;5,00;6560,11
210;S3;P768;2023-07-24;2023-08-03;Sí;10;4,68;6612,60
211;S6;P460;2023-07-14;2023-07-19;Sí;5;1,84;6735,37
212;S8;P260;2023-07-19;2023-07-22;Sí;3;4,52;5192,52
213;S7;P482;2023-01-12;2023-01-18;No;6;2,73;9958,65
214;S6;P392;2023-09-26;2023-09-29;Sí;3;2,29;500,00
215;S6;P546;2023-06-11;2023-06-27;Sí;16;1,00;1270,09
216;S5;P623;2023-12-06;2023-12-09;No;3;5,00;5632,55
217;S5;P441;2023-03-10;2023-03-14;Sí;4;3,79;14929,81
218;S6;P501;2023-10-30;2023-11-02;Sí;3;4,02;9387,99
219;S3;P253;2023-02-17;2023-03-06;Sí;17;3,04;11330,07
220;S9;P825;2023-08-17;2023-08-20;Sí;3;1,73;5532,75
221;S10;P429;2023-01-29;2023-02-22;Sí;24;2,92;1236,48
222;S7;P911;2023-09-21;2023-09-26;Sí;5;3,77;9588,81
223;S5;P539;2023-01-04;2023-01-07;Sí;3;1,00;13708,68
224;S3;P258;2023-11-08;2023-11-11;Sí;3;1,00;2177,61
225;S1;P217;2023-09-25;2023-09-28;Sí;3;1,43;500,00
226;S1;P250;2023-03-01;2023-03-16;No;15;4,95;500,00
227;S8;P283;2023-10-17;2023-10-20;Sí;3;1,06;6524,48
228;S8;P884;2023-07-03;2023-07-10;Sí;7;3,42;19202,87
229;S5;P664;2023-10-19;2023-10-22;No;3;2,93;9865,94
230;S2;P252;2023-03-31;2023-04-03;Sí;3;5,00;14258,27
231;S4;P113;2023-12-20;2023-12-23;Sí;3;3,36;4896,25
232;S2;P505;2023-04-29;2023-05-09;Sí;10;2,97;18810,74
233;S2;P621;2023-11-25;2023-12-05;Sí;10;5,00;10010,91
234;S2;P413;2023-05-28;2023-06-08;Sí;11;4,28;9931,04
235;S2;P246;2023-07-02;2023-07-05;Sí;3;4,16;5176,49
236;S9;P743;2023-11-27;2023-11-30;Sí;3;3,93;7735,81
237;S8;P895;2023-08-24;2023-08-30;No;6;5,00;7216,19
238;S4;P346;2023-03-06;2023-03-09;No;3;5,00;4923,60
239;S6;P169;2023-04-06;2023-04-22;Sí;16;1,00;11776,98
240;S9;P840;2023-10-09;2023-10-12;Sí;3;5,00;8127,41
241;S3;P418;2023-08-25;2023-09-05;Sí;11;3,32;9082,10
242;S10;P308;2023-11-29;2023-12-05;Sí;6;4,43;14557,10
243;S7;P187;2023-09-19;2023-10-04;Sí;15;4,86;6500,82
244;S8;P669;2023-12-21;2023-12-26;No;5;5,00;640,84
245;S6;P552;2023-01-12;2023-01-22;Sí;10;2,10;500,00
246;S4;P426;2023-07-12;2023-08-05;Sí;24;5,00;16854,85
247;S3;P535;2023-05-23;2023-06-03;Sí;11;3,17;11438,70
248;S6;P561;2023-01-27;2023-01-30;Sí;3;3,96;6350,02
249;S2;P419;2023-08-08;2023-08-11;Sí;3;3,84;500,00
250;S9;P212;2023-08-18;2023-08-31;Sí;13;2,09;4290,30
251;S6;P398;2023-07-26;2023-08-11;Sí;16;4,44;2253,96
252;S1;P782;2023-03-18;2023-03-21;Sí;3;4,22;11401,64
253;S10;P104;2023-08-27;2023-09-03;Sí;7;5,00;5261,93
254;S10;P491;2023-07-10;2023-07-21;Sí;11;4,68;9150,30
255;S8;P226;2023-12-19;2023-12-29;Sí;10;1,50;500,00
256;S5;P814;2023-06-02;2023-06-05;Sí;3;2,18;500,00
257;S10;P397;2023-05-10;2023-05-25;No;15;3,97;6638,61
258;S2;P899;2023-06-22;2023-06-25;Sí;3;5,00;7686,03
259;S1;P653;2023-08-21;2023-09-10;Sí;20;5,00;14236,44
260;S2;P219;2023-10-08;2023-11-07;Sí;30;2,56;500,00
261;S6;P691;2023-04-25;2023-05-03;Sí;8;4,01;4847,54
262;S10;P696;2023-04-18;2023-04-21;Sí;3;2,98;4400,69
263;S8;P413;2023-09-06;2023-09-10;No;4;5,00;11257,79
264;S1;P289;2023-04-04;2023-04-26;Sí;22;1,00;16346,12
265;S9;P934;2023-11-23;2023-12-01;Sí;8;3,88;13715,87
266;S1;P811;2023-09-29;2023-10-02;No;3;5,00;19958,77
267;S1;P531;2023-03-10;2023-03-19;Sí;9;3,46;10785,31
268;S6;P275;2023-10-03;2023-10-06;Sí;3;5,00;6797,76
269;S8;P534;2023-03-12;2023-03-17;Sí;5;3,80;3732,08
270;S6;P857;2023-06-23;2023-07-03;Sí;10;5,00;10336,80
271;S3;P925;2023-05-17;2023-05-22;Sí;5;5,00;1338,26
272;S2;P255;2023-02-11;2023-02-14;Sí;3;5,00;10379,21
273;S1;P221;2023-05-02;2023-05-19;Sí;17;1,00;10034,87
274;S3;P290;2023-06-08;2023-06-14;Sí;6;5,00;11987,23
275;S3;P544;2023-09-30;2023-10-06;Sí;6;5,00;13180,90
276;S5;P982;2023-05-05;2023-05-10;Sí;5;3,63;2862,60
277;S4;P575;2023-04-23;2023-04-26;Sí;3;5,00;14876,49
278;S3;P481;2023-05-07;2023-05-10;Sí;3;2,40;10520,10
279;S2;P412;2023-03-29;2023-04-04;No;6;4,94;14281,30
280;S3;P622;2023-09-06;2023-09-15;No;9;5,00;500,00
281;S1;P318;2023-03-11;2023-03-14;No;3;2,85;3987,47
282;S7;P555;2023-11-06;2023-11-21;Sí;15;3,31;7936,45
283;S10;P161;2023-10-21;2023-11-04;Sí;14;5,00;5666,70
284;S10;P197;2023-11-22;2023-12-17;Sí;25;5,00;9729,04
285;S6;P597;2023-02-22;2023-02-27;No;5;4,79;3407,46
286;S2;P768;2023-06-23;2023-06-26;Sí;3;1,00;11101,05
287;S10;P134;2023-08-21;2023-09-08;Sí;18;5,00;11478,91
288;S5;P151;2023-03-09;2023-03-27;Sí;18;5,00;19898,70
289;S1;P824;2023-05-31;2023-06-11;Sí;11;5,00;12744,68
290;S3;P197;2023-07-07;2023-07-10;Sí;3;3,27;9401,74
291;S10;P786;2023-06-30;2023-07-16;Sí;16;1,70;5551,12
292;S5;P132;2023-10-08;2023-10-11;Sí;3;4,21;2207,65
293;S7;P779;2023-01-31;2023-02-03;Sí;3;4,79;13099,62
294;S4;P907;2023-10-28;2023-10-31;Sí;3;1,80;15442,99
295;S8;P517;2023-08-03;2023-08-06;Sí;3;1,00;14879,55
296;S2;P831;2023-05-11;2023-05-20;Sí;9;5,00;6065,50
297;S5;P876;2023-05-04;2023-05-13;Sí;9;3,36;4655,62
298;S9;P956;2023-08-17;2023-08-27;No;10;2,54;14466,17
299;S9;P991;2023-05-31;2023-06-13;Sí;13;5,00;5011,82
300;S3;P872;2023-02-18;2023-03-12;No;22;4,28;10220,94
301;S5;P637;2023-09-28;2023-10-11;Sí;13;2,72;10488,70
302;S5;P250;2023-03-18;2023-04-04;Sí;17;3,45;4963,84
303;S5;P959;2023-11-10;2023-11-13;No;3;2,22;8451,96
304;S1;P815;2023-11-05;2023-11-08;Sí;3;4,03;6510,51
305;S1;P230;2023-05-20;2023-06-03;Sí;14;2,31;9340,14
306;S10;P994;2023-08-19;2023-08-31;Sí;12;2,97;10644,33
307;S1;P115;2023-01-18;2023-01-24;Sí;6;5,00;5978,06
308;S4;P681;2023-07-27;2023-08-04;Sí;8;2,62;3786,56
309;S4;P300;2023-09-22;2023-09-25;Sí;3;4,67;17022,44
310;S8;P338;2023-07-11;2023-07-14;Sí;3;1,77;20000,00
311;S1;P751;2023-08-02;2023-08-11;Sí;9;5,00;3526,60
312;S3;P689;2023-01-18;2023-01-21;Sí;3;3,51;6306,65
313;S1;P157;2023-03-29;2023-04-01;Sí;3;5,00;12375,92
314;S4;P501;2023-02-22;2023-02-25;Sí;3;4,71;3229,75
315;S8;P210;2023-12-01;2023-12-04;Sí;3;4,10;6621,41
316;S6;P144;2023-09-28;2023-10-01;Sí;3;5,00;7663,87
317;S7;P296;2023-06-13;2023-06-16;Sí;3;2,78;3643,72
318;S7;P409;2023-08-14;2023-08-26;No;12;1,00;5511,76
319;S9;P487;2023-11-27;2023-12-01;No;4;1,67;500,00
320;S9;P320;2023-03-08;2023-03-13;Sí;5;5,00;11515,32
321;S9;P775;2023-10-29;2023-11-05;No;7;2,44;10629,71
322;S7;P818;2023-10-05;2023-10-14;Sí;9;2,15;4391,65
323;S9;P178;2023-02-19;2023-02-27;Sí;8;5,00;1635,30
324;S8;P831;2023-11-05;2023-11-16;No;11;3,78;15979,37
325;S9;P541;2023-09-16;2023-10-03;No;17;5,00;12189,46
326;S8;P271;2023-11-23;2023-12-05;No;12;5,00;7396,78
327;S5;P410;2023-08-05;2023-08-20;Sí;15;5,00;6347,68
328;S8;P399;2023-11-22;2023-12-04;No;12;3,61;8671,89
329;S10;P943;2023-03-15;2023-03-25;No;10;4,69;10427,08
330;S2;P282;2023-02-13;2023-02-23;Sí;10;2,53;4274,52
331;S1;P170;2023-03-11;2023-03-14;No;3;5,00;8177,49
332;S6;P790;2023-11-05;2023-11-22;Sí;17;4,26;10039,65
333;S9;P639;2023-07-20;2023-07-23;Sí;3;2,33;12850,77
334;S2;P614;2023-04-15;2023-04-19;Sí;4;1,37;2469,45
335;S6;P920;2023-07-24;2023-08-05;Sí;12;4,60;11272,18
336;S1;P615;2023-12-28;2024-01-06;No;9;4,63;4715,35
337;S2;P696;2023-12-14;2023-12-29;Sí;15;3,24;10453,25
338;S8;P326;2023-11-07;2023-11-15;No;8;3,86;4519,74
339;S9;P681;2023-06-21;2023-06-30;Sí;9;2,67;8148,23
340;S8;P336;2023-04-14;2023-04-18;Sí;4;4,08;10592,24
341;S3;P195;2023-02-12;2023-02-20;Sí;8;3,77;10229,54
342;S3;P322;2023-05-01;2023-05-07;Sí;6;2,34;3811,14
343;S6;P121;2023-08-25;2023-08-29;Sí;4;3,69;5144,19
344;S1;P129;2023-10-13;2023-10-16;No;3;5,00;8476,35
345;S4;P604;2023-07-05;2023-07-21;Sí;16;3,53;18974,70
346;S8;P296;2023-06-11;2023-06-14;No;3;5,00;2906,46
347;S2;P910;2023-12-23;2024-01-03;No;11;1,00;4512,03
348;S9;P861;2023-09-16;2023-09-19;Sí;3;5,00;3545,74
349;S4;P162;2023-01-02;2023-01-09;Sí;7;1,00;7776,58
350;S7;P802;2023-01-16;2023-01-29;Sí;13;3,04;7495,14
351;S10;P994;2023-06-07;2023-06-10;Sí;3;5,00;7487,52
352;S7;P594;2023-05-19;2023-05-31;Sí;12;2,41;500,00
353;S1;P172;2023-07-15;2023-07-22;Sí;7;5,00;16474,76
354;S1;P849;2023-12-23;2024-01-11;Sí;19;3,13;2839,27
355;S5;P783;2023-01-11;2023-01-21;Sí;10;4,54;7772,91
356;S10;P589;2023-12-14;2024-01-09;Sí;26;4,84;6912,06
357;S6;P503;2023-06-21;2023-07-05;No;14;2,86;779,43
358;S8;P899;2023-05-09;2023-05-18;No;9;1,00;13220,61
359;S2;P194;2023-09-01;2023-09-14;Sí;13;5,00;9610,77
360;S9;P707;2023-03-29;2023-04-03;Sí;5;2,37;14662,54
361;S3;P367;2023-07-20;2023-08-06;Sí;17;3,06;1666,43
362;S2;P627;2023-02-09;2023-02-12;Sí;3;3,57;500,00
363;S4;P779;2023-06-13;2023-06-16;No;3;2,70;500,00
364;S2;P760;2023-06-06;2023-06-09;Sí;3;5,00;500,00
365;S8;P365;2023-10-11;2023-10-18;Sí;7;3,36;500,00
366;S2;P338;2023-02-11;2023-02-22;Sí;11;2,86;11490,55
367;S6;P659;2023-01-25;2023-01-28;No;3;1,00;3651,80
368;S3;P751;2023-01-13;2023-01-25;Sí;12;5,00;3963,15
369;S6;P761;2023-12-19;2024-01-03;Sí;15;5,00;4035,51
370;S10;P471;2023-01-29;2023-02-12;Sí;14;1,65;9784,64
371;S7;P734;2023-02-03;2023-02-09;Sí;6;1,36;11491,61
372;S7;P229;2023-01-26;2023-01-29;Sí;3;1,00;6854,60
373;S7;P433;2023-02-06;2023-02-09;Sí;3;3,39;8093,19
374;S3;P619;2023-01-03;2023-01-08;Sí;5;2,91;9723,37
375;S10;P374;2023-08-31;2023-09-06;Sí;6;2,14;8127,29
376;S6;P738;2023-10-07;2023-10-24;Sí;17;5,00;8958,85
377;S8;P461;2023-06-14;2023-06-28;No;14;4,62;9406,76
378;S9;P303;2023-03-25;2023-03-28;Sí;3;2,75;8529,21
379;S8;P126;2023-09-29;2023-10-12;Sí;13;4,11;14405,65
380;S3;P862;2023-05-19;2023-05-28;Sí;9;3,78;12185,95
